shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-477-03813-513526,['11-24-477-03813-513535'],1,1,[2167]
11-24-477-03813-513535,['11-24-477-03813-513526'],1,1,[2167]
11-24-477-03814-513587,"['11-24-477-03816-513745', '11-24-477-03816-513757']",2,1,[2434]
11-24-477-03814-513614,"['11-24-477-03814-513639', '11-24-477-03814-513615']",2,2,"[170, 677]"
11-24-477-03814-513617,"['11-24-477-03814-513618', '11-24-477-03814-513619']",2,1,[1911]
11-24-477-03814-513618,"['11-24-477-03814-513617', '11-24-477-03814-513619']",2,1,[1911]
11-24-477-03814-513621,[],0,4,"[203, 1245, 2235, 2236]"
11-24-477-03814-513641,"['11-24-477-03814-513644', '11-24-477-03814-513642', '11-24-477-03817-513774']",3,3,"[120, 121, 1321]"
11-24-477-03814-513642,"['11-24-477-03814-513644', '11-24-477-03814-513641']",2,1,[1321]
11-24-477-03814-513646,[],0,3,"[141, 667, 749]"
11-24-477-03815-513680,['11-24-477-03815-513676'],1,1,[1946]
11-24-477-03815-513684,[],0,2,"[443, 445]"
11-24-477-03815-513697,[],0,2,"[444, 1038]"
11-24-477-03815-513712,"['11-24-477-03815-513713', '11-24-477-03815-513709']",2,1,[2256]
11-24-477-03815-513713,"['11-24-477-03815-513712', '11-24-477-03815-513709']",2,1,[2256]
11-24-477-03816-513756,"['11-24-477-03816-513757', '11-24-477-03816-513759']",2,1,[984]
11-24-477-03816-513757,"['11-24-477-03814-513587', '11-24-477-03816-513756', '11-24-477-03816-513759', '11-24-477-03816-513745']",4,5,"[169, 984, 1320, 2430, 2434]"
11-24-477-03817-513771,[],0,1,[1042]
11-24-477-03817-513774,"['11-24-477-03817-513770', '11-24-477-03814-513641']",2,4,"[121, 168, 1913, 1949]"
11-24-477-03817-513783,"['11-24-477-03817-513795', '11-24-477-03817-513784']",2,1,[2400]
11-24-477-03817-513804,['11-24-477-03817-513775'],1,2,"[75, 1039]"
11-24-477-03817-513828,"['11-24-477-03817-513826', '11-24-477-03817-513827']",2,1,[1037]
11-24-477-03817-513840,[],0,1,[1040]
11-24-477-03817-513842,['11-24-477-03817-513843'],1,1,[1036]
11-24-477-03817-513843,['11-24-477-03817-513842'],1,4,"[637, 1036, 1937, 2377]"
11-24-477-03817-513852,"['11-24-477-03817-513851', '11-24-476-03804-513041']",2,1,[1947]
11-24-477-03817-513858,"['11-24-476-03808-513274', '11-24-477-03817-513846']",2,1,[1948]
11-24-477-03817-513865,['11-24-477-03817-513864'],1,1,[734]
11-24-477-03817-513866,['11-24-476-03808-513277'],1,2,"[1041, 1591]"
11-24-477-03818-513886,['11-24-477-03818-513885'],1,1,[1043]
11-24-477-03818-513908,[],0,2,"[214, 653]"
11-24-477-03818-513911,"['11-24-477-03818-513903', '11-24-477-03818-513912']",2,1,[1951]
11-24-477-03818-513915,"['11-24-477-03818-513913', '11-24-477-03818-513914']",2,2,"[1015, 1772]"
11-24-477-03819-513949,"['11-24-477-03819-513961', '11-24-477-03819-513960']",2,1,[2165]
11-24-477-03819-513961,"['11-24-477-03819-513949', '11-24-477-03819-513960']",2,1,[2165]
11-24-477-03819-513972,['11-24-477-03819-513974'],1,2,"[499, 2166]"
11-24-477-03820-514007,['11-24-477-03820-514015'],1,2,"[1703, 1705]"
11-24-477-03820-514015,['11-24-477-03820-514007'],1,3,"[508, 1539, 1703]"
11-24-477-03820-514025,"['11-24-477-03820-514026', '11-24-477-03820-514038']",2,3,"[0, 545, 2425]"
11-24-477-03821-514101,"['11-24-477-03821-514121', '11-24-477-03821-514120']",2,4,"[1031, 1944, 1945, 2368]"
11-24-477-03821-514106,['11-24-477-03818-513929'],1,1,[1484]
11-24-477-03821-514107,['11-24-477-03818-513929'],1,1,[423]
11-24-477-03821-514114,['11-24-477-03821-514127'],1,1,[1942]
11-24-477-03821-514136,['11-24-477-03821-514139'],1,1,[1943]
11-24-477-03821-514139,['11-24-477-03821-514136'],1,1,[1943]
11-24-477-03821-514156,['11-24-477-03821-514162'],1,1,[1035]
11-24-477-03821-514162,"['11-24-477-03821-514156', '11-24-477-03821-514155', '11-24-477-03821-514157']",3,3,"[1035, 1909, 1910]"
11-24-478-03822-514191,"['11-24-478-03822-514193', '11-24-478-03822-514179', '11-24-478-03822-514178']",3,1,[718]
11-24-478-03824-514336,['11-24-478-03824-514334'],1,2,"[1529, 2343]"
11-24-479-03828-514539,"['11-24-479-03828-514538', '11-24-479-03828-514541', '11-24-479-03828-514535']",3,1,[1921]
11-24-479-03828-514541,"['11-24-479-03828-514538', '11-24-479-03828-514539', '11-24-479-03828-514535']",3,1,[1921]
11-24-479-03829-514639,['11-24-479-03829-514640'],1,1,[1954]
11-24-479-03832-514785,['11-24-479-03832-514787'],1,1,[1923]
11-24-479-03832-514816,['11-24-479-03833-514839'],1,1,[1609]
11-24-480-03840-515471,[],0,1,[891]
11-24-480-03843-515590,['11-24-480-03843-802542'],1,1,[2433]
11-24-480-03846-515828,[],0,1,[1820]
11-24-480-03849-515936,[],0,1,[1812]
11-24-480-03849-515939,['11-24-480-03849-515933'],1,1,[1811]
11-24-480-03849-515988,"['11-24-480-03849-515960', '11-24-481-03860-516785', '11-24-480-03849-515975', '11-24-480-03849-515974']",4,1,[1819]
11-24-481-03850-516006,"['11-24-481-03850-516010', '11-24-475-03795-512466', '11-24-481-03850-516007']",3,1,[724]
11-24-481-03850-516007,"['11-24-481-03850-516010', '11-24-481-03850-516006', '11-24-475-03795-512466']",3,1,[724]
11-24-481-03850-516012,[],0,1,[225]
11-24-481-03850-516047,['11-24-481-03850-516044'],1,1,[226]
11-24-481-03851-516065,['11-24-481-03851-516071'],1,1,[983]
11-24-481-03851-516071,"['11-24-481-03851-516085', '11-24-481-03851-516065']",2,2,"[259, 983]"
11-24-481-03851-516108,['11-24-481-03851-516102'],1,1,[1877]
11-24-481-03852-516133,['11-24-481-03852-516134'],1,1,[449]
11-24-481-03854-516230,[],0,1,[1425]
11-24-481-03854-516250,['11-24-481-03854-516284'],1,1,[1867]
11-24-481-03855-516287,['11-24-481-03855-516288'],1,1,[970]
11-24-481-03855-516288,['11-24-481-03855-516287'],1,1,[970]
11-24-481-03856-516339,['11-24-481-03856-516340'],1,1,[980]
11-24-481-03856-516371,['11-24-481-03856-516414'],1,1,[975]
11-24-481-03856-516379,"['11-24-481-03856-516386', '11-24-481-03856-516380', '11-24-481-03856-516387']",3,2,"[1868, 1873]"
11-24-481-03856-516390,"['11-24-481-03856-516385', '11-24-481-03856-516391']",2,1,[1874]
